in s,C1 in V
-3.9493699E+00,5.18434E-01
-3.9490024E+00,5.32105E-01
-3.9486349E+00,5.38941E-01
-3.9482674E+00,5.39918E-01
-3.9478998E+00,5.32105E-01
-3.9475323E+00,5.21363E-01
-3.9471648E+00,5.06715E-01
-3.9467973E+00,5.02809E-01
-3.9464298E+00,5.08668E-01
-3.9460622E+00,5.21363E-01
-3.9456947E+00,5.33082E-01
-3.9453272E+00,5.42848E-01
-3.9449597E+00,5.45777E-01
-3.9445922E+00,5.33082E-01
-3.9442246E+00,5.19410E-01
-3.9438571E+00,5.05738E-01
-3.9434896E+00,5.07691E-01
-3.9431221E+00,5.16480E-01
-3.9427546E+00,5.29176E-01
-3.9423870E+00,5.39918E-01
-3.9420195E+00,5.48707E-01
-3.9416520E+00,5.44801E-01
-3.9412845E+00,5.25270E-01
-3.9409170E+00,5.10621E-01
-3.9405494E+00,5.05738E-01
-3.9401819E+00,5.07691E-01
-3.9398144E+00,5.19410E-01
-3.9394469E+00,5.32105E-01
-3.9390794E+00,5.36988E-01
-3.9387118E+00,5.41871E-01
-3.9383443E+00,5.29176E-01
-3.9379768E+00,5.15504E-01
-3.9376093E+00,5.06715E-01
-3.9372418E+00,5.00855E-01
-3.9368742E+00,5.12574E-01
-3.9365067E+00,5.24293E-01
-3.9361392E+00,5.36988E-01
-3.9357717E+00,5.42848E-01
-3.9354042E+00,5.41871E-01
-3.9350366E+00,5.29176E-01
-3.9346691E+00,5.15504E-01
-3.9343016E+00,5.07691E-01
-3.9339341E+00,5.06715E-01
-3.9335666E+00,5.20387E-01
-3.9331990E+00,5.30152E-01
-3.9328315E+00,5.39918E-01
-3.9324640E+00,5.46754E-01
-3.9320965E+00,5.39918E-01
-3.9317290E+00,5.21363E-01
-3.9313614E+00,5.08668E-01
-3.9309939E+00,5.05738E-01
-3.9306264E+00,5.09645E-01
-3.9302589E+00,5.22340E-01
-3.9298914E+00,5.32105E-01
-3.9295238E+00,5.42848E-01
-3.9291563E+00,5.39918E-01
-3.9287888E+00,5.30152E-01
-3.9284213E+00,5.13551E-01
-3.9280538E+00,5.03785E-01
-3.9276862E+00,5.07691E-01
-3.9273187E+00,5.13551E-01
-3.9269512E+00,5.30152E-01
-3.9265837E+00,5.39918E-01
-3.9262162E+00,5.43824E-01
-3.9258486E+00,5.36988E-01
-3.9254811E+00,5.26246E-01
-3.9251136E+00,5.13551E-01
-3.9247461E+00,5.07691E-01
-3.9243786E+00,5.10621E-01
-3.9240110E+00,5.22340E-01
-3.9236435E+00,5.32105E-01
-3.9232760E+00,5.40895E-01
-3.9229085E+00,5.42848E-01
-3.9225410E+00,5.35035E-01
-3.9221734E+00,5.19410E-01
-3.9218059E+00,5.08668E-01
-3.9214384E+00,5.00855E-01
-3.9210709E+00,5.08668E-01
-3.9207034E+00,5.25270E-01
-3.9203358E+00,5.32105E-01
-3.9199683E+00,5.41871E-01
