,x1,y1,Mean,Mean_uncer,sigma,sigma_uncer,A,A_uncer
526,2400,2300,3415.292272,0.16714885,18.01521122,0.027797444,209.3241823,2.819421281
527,2500,2300,3420.00569,1.043898687,27.62064147,1.094619855,96.60468733,10.00437093
528,200,2400,3415.458132,0.095622503,11.97295602,0.009147739,329.632203,5.198500053
529,300,2400,3421.673703,0.097661266,11.58319778,0.009553403,294.0094123,4.614294263
530,400,2400,3418.145654,0.068914513,8.99562412,0.004748114,430.980094,8.174980094
531,500,2400,3418.753008,0.069244228,8.503263317,0.004797803,447.7792889,9.987883491
532,600,2400,3419.932147,0.066142787,8.373334548,0.004377671,457.5245619,9.838424508
533,700,2400,3419.550942,0.058857306,8.118779751,0.003464613,478.2834059,9.016817688
534,800,2400,3420.74378,0.060344218,8.591545454,0.003624431,448.1404684,7.393255323
535,900,2400,3420.492323,0.061529351,8.578506433,0.003771148,431.8126246,7.21716495
536,1000,2400,3419.76352,0.066684294,8.39205709,0.004451447,465.6097543,10.27360059
537,1100,2400,3420.103609,0.079983633,8.589452208,0.006396875,448.2077541,13.06432648
538,1200,2400,3418.891007,0.074603957,7.991949338,0.00555823,493.9797911,15.91886291
539,1300,2400,3419.230418,0.070994731,8.388531144,0.005067884,466.1886711,11.7170147
540,1400,2400,3419.58491,0.071714785,8.080398663,0.005144484,407.6138264,9.811110243
541,1500,2400,3419.932904,0.062780732,8.475177805,0.003941678,448.6385101,8.283449635
542,1600,2400,3419.163618,0.050317205,8.108268199,0.002536155,479.675491,6.672778856
543,1700,2400,3417.139379,0.086835602,8.030187493,0.007541542,494.1250534,21.41401998
544,1800,2400,3416.183286,0.057005741,8.161992177,0.003250505,476.6750085,8.313294359
545,1900,2400,3415.543248,0.064512182,8.664649122,0.004168126,422.3537711,7.418133698
546,2000,2400,3414.1779,0.080047738,8.367026977,0.006424784,467.491709,15.04766989
547,2100,2400,3413.854769,0.072552724,9.05954352,0.005268279,428.8975526,8.868952808
548,2200,2400,3412.023902,0.109980756,9.992030881,0.012128277,395.3623325,14.25378861
549,2300,2400,3412.018763,0.110104308,12.58726784,0.012112899,308.1140513,5.440595051
550,2400,2400,3413.42386,0.1584367,17.28679829,0.025096054,224.5161667,3.17525542
551,2500,2400,3417.411853,0.866803434,27.59575483,0.753015533,97.73280407,7.068508829
552,200,2500,3415.631236,0.10475576,12.04918197,0.010975824,328.2051861,6.10683351
553,300,2500,3416.602124,0.066510811,10.09576102,0.004408072,373.6299205,4.511639455
554,400,2500,3419.860195,0.080479283,9.650087224,0.006451301,377.903503,7.391203656
555,500,2500,3419.620422,0.078684333,8.807291178,0.006175606,432.8995661,11.19285986
556,600,2500,3419.793391,0.067096276,8.397896259,0.004502806,453.5155793,9.847255068
