,x1,y1,Mean,Mean_uncer,sigma,sigma_uncer,A,A_uncer
794,200,4000,3418.8010696497577,0.10592128847123794,11.489269071893707,0.011214048704516174,339.62534566650544,7.348867138315671
795,300,4000,3420.028707558609,0.06933117950723741,10.264710503653632,0.004808804604001006,375.71771984865046,4.833470920022784
796,400,4000,3420.652721343193,0.33944487033920495,9.057880443724713,0.11522895804747585,558.1386657568986,328.11358540504455
797,500,4000,3423.7283154825373,0.11404844835503022,9.226065034881852,0.013040735399510603,348.9702933061438,13.941012418393193
798,600,4000,3420.499800438415,0.0729250232152979,8.381858091358747,0.005324035185379856,467.5885354573757,12.436285725042076
799,700,4000,3418.739359316152,0.06209890596681617,8.141038870457406,0.0038686354770788227,484.04865899508167,10.260450856846198
800,800,4000,3418.414984220427,0.05949777159591832,8.205654153097383,0.0035402813611405113,474.53207574498424,8.879263786891414
801,900,4000,3418.4696184566988,0.0790279468054617,8.184254797403486,0.006247013809035276,478.8822170001308,16.037867219006852
802,1000,4000,3418.98406699894,0.06726807499131944,8.348000333854687,0.0045326735490877935,454.94205100300474,10.143860319005059
803,1100,4000,3418.9836744137215,0.06212501522232987,8.652381316257742,0.0038628173672760483,438.8579395429195,7.448674976191335
804,1200,4000,3418.867771703372,0.052190452211441814,8.030836977541526,0.002726891858705413,479.13354186210785,7.277936658066279
805,1300,4000,3421.2403049045643,0.32418157721816193,8.489350144964753,0.10510954407535707,577.8412367773874,365.15921712565523
806,1400,4000,3423.862253478527,0.565132849893008,11.875466185731634,0.3284687228699458,201.14669614981008,68.63252787690928
807,1500,4000,3421.4450790637084,0.05621926212519258,8.515546239045154,0.0031287806327828086,449.132990746078,6.556373348778917
808,1600,4000,3419.638070826301,0.06084053105170681,8.060284966500065,0.0036984153674067804,490.5424314353311,10.28550535291089
809,1700,4000,3418.330334347986,0.07032936222834806,8.55662444555508,0.004939623020751418,454.72550805236904,10.450216482552388
810,1800,4000,3417.0915735328635,0.06233206480691949,8.803061144737994,0.0039305707064011,433.2253030869886,7.115129498509217
811,1900,4000,3415.3967154060138,0.05780307051983426,8.180360185492363,0.003338953169424696,484.1191107014515,8.942983295879547
812,2000,4000,3412.364081775952,0.05589237188266643,8.510150032604034,0.0031192117630941796,460.70723539300263,6.809320626676637
813,2100,4000,3412.7790966142156,0.07709689332150105,9.446680134027037,0.005952022581338968,395.81024832272817,7.829354425102872
814,2200,4000,3411.2756374275436,0.07383556628806778,10.382518739236124,0.005452392612585699,367.69766292024303,5.128335912617646
815,2300,4000,3410.4646539077694,0.10001571076340077,13.209307956828573,0.009933007553260816,290.7862093041183,3.607424573040869
816,200,4100,3417.403991961668,0.1211191061974863,11.56299654052242,0.014675463311203368,343.2777038351661,9.697757138593344
817,300,4100,3419.17748161699,0.08216678258020275,10.008451463162837,0.006762560897489872,392.3966751970131,7.807470756159026
