,x1,y1,Mean,Mean_uncer,sigma,sigma_uncer,A,A_uncer
0,1900,3300,3426.4880102867855,0.05628932636760116,8.34855452843813,0.003177352882741143,464.0514512659602,7.376729096213914
1,2000,3300,3423.6939792616154,0.05510292035080739,8.7929388926108,0.003087281968657073,434.75544176469975,5.624404003056279
2,2100,3300,3421.9319560950908,0.08891926635191887,9.26568126411276,0.007909125765726117,426.87926997912217,12.579437856378549
3,2200,3300,3430.7107896680886,0.22773964941072306,15.610760730505742,0.052278143621701086,210.5584994087864,7.083181438444476
4,2300,3300,3423.846370816111,0.15814340103568722,15.74908795332728,0.025267724488715632,242.71140069897706,4.53939871699345
5,1900,3400,3425.0914935489095,0.07461539738843145,7.96388742613771,0.005588301997029015,493.5077867192551,16.06928970806317
6,2000,3400,3421.92223212325,0.06841770092155426,8.60172674932103,0.004649216382551025,452.6676255468822,9.664239625715043
7,2100,3400,3419.17319781206,0.05950539483077512,9.011617158571326,0.003550122214614001,423.5134359250306,5.885402717504763
8,2200,3400,3418.7699588031014,0.0761321488809487,10.735637031838362,0.005814380136434208,358.780673488184,4.873024661154017
9,2300,3400,3416.3986878180012,0.10258767910636793,12.938834583567095,0.010524791311106407,299.6635645586343,4.233623013381084
10,1900,3500,3423.839443047487,0.07296501702202461,8.153228839882994,0.005318949472530759,483.8681818065995,14.051710934925463
11,2000,3500,3419.129876695627,0.07566861543174613,8.166041012614128,0.005772683744098477,479.9497804464256,14.969281675702039
12,2100,3500,3418.3387190568783,0.06400702940397895,9.282167515411174,0.004098498714001896,402.4122439201773,5.775512926845948
13,2200,3500,3417.508659792659,0.08409767888722597,10.644489223604118,0.007020644687562111,345.3468476434647,5.538656936341956
14,2300,3500,3414.51334400243,0.11220441360441635,12.799316306746377,0.012585447704696549,305.4609139899391,5.379138800765461
15,1900,3600,3420.5210436685215,0.05498656749444598,8.386676052741205,0.0030450988835021586,461.3434674250314,6.869680035442586
16,2000,3600,3420.1916738821033,0.07204804656992682,8.73278983040889,0.005171984114535119,415.1613577602833,8.779204989424727
17,2100,3600,3418.5952390594416,0.0555564413406345,9.244513298616313,0.0031050082829661607,406.7967066767503,4.479566185142831
18,2200,3600,3415.5697060159014,0.09751498070488047,10.72103766115313,0.00950712620967808,366.01400458516395,8.317216124343938
19,2300,3600,3413.203136199413,0.08215115097874086,13.093489303877783,0.006751326688572504,287.3039508068596,2.442210378107067
20,1900,3700,3420.010010783493,0.05498158024820281,8.155977058650222,0.0030306928104924294,473.82367768000466,7.665378010959763
21,2000,3700,3419.3949941290953,0.08097181817452,9.413384145346388,0.006574340197026357,407.59074030083724,9.242744944365871
22,2100,3700,3425.2824705801695,0.2715635218410029,11.770603306004373,0.0746677968930115,106.17783020877864,4.508102188639061
23,2200,3700,3415.096554641073,0.09718407935058589,10.982925530850622,0.009459188591858776,347.880089247112,7.111393904900066
24,2300,3700,3413.645402877711,0.11237930396563423,13.206244594535198,0.012632762942272011,280.38404948263917,4.252336487844737
25,1900,3800,3419.859489930859,0.0654210616329483,8.401286512082981,0.004239857055623271,453.6318678235955,9.27066258192046
26,2000,3800,3417.538080714491,0.06428357547115134,8.352105886039874,0.004135685763770032,473.9756763224612,9.984941814993546
27,2100,3800,3415.669718171325,0.09567707339405941,9.216104434958703,0.009150659902141188,410.0379871356115,13.587196695778886
28,2200,3800,3415.054460428032,0.08381827269327066,10.76632424053149,0.007030111522242489,321.6732339237048,4.704193733631514
29,2300,3800,3412.217317292802,0.12226830743505787,12.571386442119131,0.01495912863196716,309.9256206202067,6.817934089153897
30,1900,3900,3418.2385817724153,0.05397766485290676,8.481607925269955,0.0029144733215615655,443.5874002171558,5.97748578215249
31,2000,3900,3413.9777526430876,0.07105658536394147,8.387668580563364,0.005046992115851269,466.8313931277652,11.727070311627495
32,2100,3900,3412.7874229100157,0.07059550033289264,9.346915272840238,0.0049849537475921595,410.75369805425765,7.209307076044479
33,2200,3900,3412.975209168363,0.06620632258310372,10.61193369433217,0.004424777127230352,359.35105674064044,3.7959324879887753
34,2300,3900,3411.5041258105107,0.1044610670403649,12.916666107248918,0.010917910054904377,301.39971643661687,4.4596048901508745
35,1900,4000,3415.3967154060138,0.05780307051983426,8.180360185492363,0.003338953169424696,484.1191107014515,8.942983295879547
36,2000,4000,3412.364081775952,0.05589237188266643,8.510150032604034,0.0031192117630941796,460.70723539300263,6.809320626676637
37,2100,4000,3412.7507438255,0.0785732345387261,9.459310526919335,0.006201557608415289,396.27648280981134,8.220376672753407
38,2200,4000,3411.2756374275436,0.07383556628806778,10.382518739236124,0.005452392612585699,367.69766292024303,5.128335912617646
39,2300,4000,3410.4527889851456,0.10083807864020329,13.211016330353091,0.010108363478595993,290.8110016050636,3.6665718221964814
40,1900,4100,3415.94124802435,0.06698674660266994,9.096232620130252,0.004488666527130459,410.53999677393904,6.855484433802597
41,2000,4100,3411.9764585236135,0.06815849087222954,9.19878335499819,0.004656055698632834,415.3123811264431,7.106362893029793
42,2100,4100,3410.1249478009777,0.07733321949377855,9.79683393127514,0.0059685554378365,398.4530633073407,7.419553395076761
